maintenance_id,vehicle_id,detection_date,maintenance_date,component,issue_detected,maintenance_type,repair_duration_hours,cost_usd,parts_replaced,workshop_id,technician_id,severity,downtime_hours,odometer_reading,description
MNT-00120,EV-00022,2024-12-10 16:35:08.893469,2024-12-12 16:35:08.893469,Power Electronics,DC-DC Converter Failure,Predictive,4,1431,True,WS-007,TECH-030,Low,30,100584,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00168,EV-00093,2024-12-10 16:35:08.893851,2024-12-17 16:35:08.893851,Power Electronics,Inverter Overheating,Predictive,3,2954,False,WS-006,TECH-010,Critical,9,125063,Resolved Inverter Overheating in Power Electronics system
MNT-00007,EV-00042,2024-12-11 16:35:08.892542,2024-12-15 16:35:08.892542,Tire,Uneven Wear,Predictive,19,2180,True,WS-009,TECH-040,High,33,94631,Resolved Uneven Wear in Tire system
MNT-00064,EV-00002,2024-12-13 16:35:08.893017,2024-12-19 16:35:08.893017,Brake,Regenerative Braking Failure,Predictive,24,955,False,WS-002,TECH-042,Medium,14,135426,Resolved Regenerative Braking Failure in Brake system
MNT-00035,EV-00065,2024-12-17 16:35:08.892786,2024-12-22 16:35:08.892786,Battery,Rapid SoH Degradation,Corrective,8,3091,True,WS-009,TECH-012,Critical,35,132948,Resolved Rapid SoH Degradation in Battery system
MNT-00145,EV-00097,2024-12-19 16:35:08.893670,2024-12-25 16:35:08.893670,Suspension,Shock Absorber Failure,Predictive,23,1119,False,WS-008,TECH-034,Critical,48,126714,Resolved Shock Absorber Failure in Suspension system
MNT-00180,EV-00081,2024-12-20 16:35:08.893945,2024-12-21 16:35:08.893945,Suspension,Shock Absorber Failure,Preventive,8,2322,False,WS-010,TECH-013,Medium,46,82761,Resolved Shock Absorber Failure in Suspension system
MNT-00115,EV-00100,2024-12-26 16:35:08.893430,2024-12-28 16:35:08.893430,Battery,Rapid SoH Degradation,Predictive,1,358,False,WS-007,TECH-027,Low,36,51492,Resolved Rapid SoH Degradation in Battery system
MNT-00057,EV-00066,2024-12-27 16:35:08.892961,2024-12-30 16:35:08.892961,Battery,Cell Imbalance,Corrective,23,4005,True,WS-001,TECH-049,Critical,31,19409,Resolved Cell Imbalance in Battery system
MNT-00102,EV-00080,2024-12-27 16:35:08.893320,2025-01-03 16:35:08.893320,Battery,Cell Imbalance,Predictive,3,750,True,WS-010,TECH-017,Low,7,9242,Resolved Cell Imbalance in Battery system
MNT-00017,EV-00001,2024-12-31 16:35:08.892641,2025-01-01 16:35:08.892641,Motor,Rotor Imbalance,Corrective,18,3563,True,WS-006,TECH-045,High,4,102891,Resolved Rotor Imbalance in Motor system
MNT-00174,EV-00068,2025-01-02 16:35:08.893898,2025-01-03 16:35:08.893898,Battery,Rapid SoH Degradation,Corrective,4,2544,True,WS-008,TECH-030,Low,14,49802,Resolved Rapid SoH Degradation in Battery system
MNT-00038,EV-00056,2025-01-05 16:35:08.892809,2025-01-08 16:35:08.892809,Battery,Rapid SoH Degradation,Predictive,11,2436,True,WS-010,TECH-019,High,20,109912,Resolved Rapid SoH Degradation in Battery system
MNT-00193,EV-00054,2025-01-08 16:35:08.894050,2025-01-13 16:35:08.894050,Cooling,Radiator Blockage,Corrective,9,3583,True,WS-002,TECH-044,Low,42,26776,Resolved Radiator Blockage in Cooling system
MNT-00016,EV-00032,2025-01-12 16:35:08.892633,2025-01-16 16:35:08.892633,Battery,Rapid SoH Degradation,Corrective,12,2531,True,WS-006,TECH-036,Critical,11,26302,Resolved Rapid SoH Degradation in Battery system
MNT-00033,EV-00071,2025-01-12 16:35:08.892769,2025-01-18 16:35:08.892769,Suspension,Spring Fatigue,Predictive,22,294,False,WS-005,TECH-027,High,18,69815,Resolved Spring Fatigue in Suspension system
MNT-00133,EV-00033,2025-01-13 16:35:08.893573,2025-01-17 16:35:08.893573,Drivetrain,Gear Reduction Unit Wear,Predictive,11,4454,True,WS-001,TECH-014,High,41,22501,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00010,EV-00071,2025-01-14 16:35:08.892581,2025-01-21 16:35:08.892581,Tire,Uneven Wear,Corrective,20,1543,False,WS-003,TECH-044,Medium,30,132736,Resolved Uneven Wear in Tire system
MNT-00128,EV-00093,2025-01-15 16:35:08.893533,2025-01-18 16:35:08.893533,Brake,Regenerative Braking Failure,Predictive,4,3466,True,WS-001,TECH-017,Critical,24,138677,Resolved Regenerative Braking Failure in Brake system
